collaped_address,num_associated,latitude,longitude
800 BAY,3,43.61593765,-79.321369
300 NEW TORONTO ST,5,43.61593765,-79.321369
100 BLACKHURST CRT,7,43.61593765,-79.321369
100 ONSLOW CRES,7,43.61593765,-79.321369
100b FIELDWAY RD,4,43.61593765,-79.321369
100b OXFORD ST,5,43.61593765,-79.321369
100 FARMSTEAD AVE,1,43.61593765,-79.321369
200 QUEENS AVE,54,43.61593765,-79.321369
300 HUMBER COLLEGE  BLVD,1,43.61593765,-79.321369
i100 SHERIDAN AVE,1,43.61593765,-79.321369
200 PRESCOTT AVE,81,43.61593765,-79.321369
100 PORTLAND AVE,1,43.61593765,-79.321369
100 FARM GREEN WAY,1,43.61593765,-79.321369
100 PORLTAND ST,1,43.61593765,-79.321369
100 ROBLIN AVE,37,43.61593765,-79.321369
400 MURRAY ROSS PK,1,43.61593765,-79.321369
100 SAMUEL TEITEL CRT,12,43.61593765,-79.321369
100 100 PEARL ST,3,43.61593765,-79.321369
100 BOULETBEE AVE,1,43.61593765,-79.321369
100@ MIKE MYERS DR,1,43.61593765,-79.321369
100 MIRAMAR CRES,10,43.61593765,-79.321369
500 ADELE AVE,1,43.61593765,-79.321369
100 AILKEN PL,1,43.61593765,-79.321369
100 NORWINGTON DR,1,43.61593765,-79.321369
4000 ROXTON RD,1,43.61593765,-79.321369
100 COTARAQUI CRES,1,43.61593765,-79.321369
100-100 SIDNEY BELSEY CT,1,43.61593765,-79.321369
100 WELSFORD GDN,2,43.61593765,-79.321369
300 CARSON ST,1,43.61593765,-79.321369
100' EARLDOWN DR,1,43.61593765,-79.321369
600 REXDALE BLVD.,1,43.61593765,-79.321369
100 PRINCES GATES,1,43.61593765,-79.321369
2500b YONGE ST,1,43.61593765,-79.321369
100 SUPERIOR CREEK LN,8,43.61593765,-79.321369
100o THE ESPLANADE,1,43.61593765,-79.321369
100 ELLESWORTH AVE.,2,43.61593765,-79.321369
300 BRAEMAR AVE,1,43.61593765,-79.321369
100 HUMBERLINE DRIVE,5,43.61593765,-79.321369
2200 QUEENST E,1,43.61593765,-79.321369
100  PALMERSTON AVE,3,43.61593765,-79.321369
1000 MONTROSE AVE,2,43.61593765,-79.321369
200 RED ROBINWAY,9,43.61593765,-79.321369
100 RENOAK DR,12,43.61593765,-79.321369
100 BLEVINS PLA,1,43.61593765,-79.321369
100 DUNSDALE SQ,28,43.61593765,-79.321369
200 SANDOWN AVE,26,43.61593765,-79.321369
300 OXTON AVE,1,43.61593765,-79.321369
100 CANYON AVE.,1,43.61593765,-79.321369
#100 REDROBIN WAY,1,43.61593765,-79.321369
5300 RATHBURN RD,1,43.61593765,-79.321369
100A HILLSIDE AVE,1,43.61593765,-79.321369
100 CAMWOOD CRES,42,43.61593765,-79.321369
100\ DUNDAS ST W,1,43.61593765,-79.321369
100 TULLIS DR,46,43.61593765,-79.321369
700 LAWRENCE AVENUE,1,43.61593765,-79.321369
2300 ISL,2,43.61593765,-79.321369
1000 TOYAL YORK RD,1,43.61593765,-79.321369
100 HARLLANDALE AV,1,43.61593765,-79.321369
100T HORNCLIFFE PK DR,1,43.61593765,-79.321369
100A OSSINGTON AVE,4,43.61593765,-79.321369
200 CENTENNIAL PARK BLVD,2,43.61593765,-79.321369
200 ARCHERHILL DR,1,43.61593765,-79.321369
100 CRAIGHURST AVE,87,43.61593765,-79.321369
900 BIRCHMOUNT ROAD,2,43.61593765,-79.321369
1700 GLENARDEN RD,1,43.61593765,-79.321369
100 STAGECOACH CIRL,5,43.61593765,-79.321369
100 DUFRSNE CT,1,43.61593765,-79.321369
600 HOPEWELL,1,43.61593765,-79.321369
100 BREDONHIL CT,2,43.61593765,-79.321369
700 CASTLEFIELD AVE,23,43.61593765,-79.321369
400 RIMROCK RD,2,43.61593765,-79.321369
500 MCLEVIN V,1,43.61593765,-79.321369
300 KENENDYA V,1,43.61593765,-79.321369
100 SANDALE GDNS,33,43.61593765,-79.321369
100 SIDNEY BLSEY CR,1,43.61593765,-79.321369
100 GUILD WOOD PARKWAY,1,43.61593765,-79.321369
100 PENNYBROOK LANE,4,43.61593765,-79.321369
100  GLEN EVEREST RD,1,43.61593765,-79.321369
100 EDENGRATH CT,4,43.61593765,-79.321369
1200 EGLINTON V E,1,43.61593765,-79.321369
100 UPPER CANADA DRIVE,3,43.61593765,-79.321369
4000 LAWRENCE AVE  E,1,43.61593765,-79.321369
100 PARKWAY FREST DR,1,43.61593765,-79.321369
100 QUEENS QY W,1,43.61593765,-79.321369
100 SANDOWN LANE,1,43.61593765,-79.321369
100A ANTLER,1,43.61593765,-79.321369
100 LIETH HILL RD,2,43.61593765,-79.321369
