,Geo_Code,Population,Canadians,Percent Canadian,Median_Income,Geo_Code_String
0,5350420.13,5220,4550,87.16475096,31916,5350420.13
1,5350422.03,6955,6235,89.64773544,26504,5350422.03
2,5350422.04,4200,3665,87.26190476,29064,5350422.04
3,5350422.05,7330,6425,87.65347885,24443,5350422.05
4,5350422.06,5310,4660,87.75894539,22948,5350422.06
5,5350424.07,6860,6315,92.05539359,30890,5350424.07
6,5350424.08,7385,6980,94.51591063,28552,5350424.08
7,5350804.10,4845,4520,93.29205366,31319,5350804.10
8,5350804.11,5435,5035,92.64029439,27408,5350804.11
9,5350450.05,5585,5215,93.37511191,35889,5350450.05
10,5350450.06,4920,4735,96.2398374,36813,5350450.06
11,5350573.06,4800,4325,90.10416667,29761,5350573.06
12,5350573.07,5990,5440,90.81803005,26249,5350573.07
13,5350576.16,6670,5830,87.40629685,24470,5350576.16
14,5350576.17,6900,5930,85.94202899,25207,5350576.17
15,5350576.18,11900,9620,80.84033613,24242,5350576.18
16,5350585.09,5840,5740,98.28767123,32716,5350585.09
17,5350585.10,4270,4095,95.90163934,29917,5350585.10
18,5350586.01,6355,6210,97.71833202,32625,5350586.01
19,5350586.02,2920,2840,97.26027397,29219,5350586.02
20,5350516.30,6005,5290,88.09325562,31256,5350516.30
21,5350516.31,2830,2640,93.28621908,32064,5350516.31
22,5350516.32,4900,4500,91.83673469,37090,5350516.32
23,5350520.07,5040,3490,69.24603175,24834,5350520.07
24,5350520.08,6465,5610,86.774942,28085,5350520.08
25,5350528.32,4455,4010,90.01122334,28802,5350528.32
26,5350528.33,6670,6070,91.00449775,26425,5350528.33
27,5350528.34,6120,5445,88.97058824,30150,5350528.34
28,5350528.35,3085,2780,90.11345219,27563,5350528.35
29,5350530.01,5235,4095,78.2234957,22660,5350530.01
30,5350530.02,3325,2695,81.05263158,20587,5350530.02
31,5350451.05,4690,4570,97.44136461,31481,5350451.05
32,5350451.06,6515,6230,95.62547966,34438,5350451.06
33,5350451.07,4785,4320,90.28213166,35483,5350451.07
34,5350424.09,2985,2780,93.13232831,31132,5350424.09
35,5350424.10,6130,5800,94.61663948,35035,5350424.10
36,5350424.11,7630,6930,90.82568807,33550,5350424.11
37,5350411.07,4395,4245,96.58703072,35076,5350411.07
38,5350412.12,4270,4040,94.61358314,28334,5350412.12
39,5350412.13,4260,4055,95.18779343,25028,5350412.13
40,5350411.08,2120,1920,90.56603774,28969,5350411.08
41,5350411.09,6400,5725,89.453125,30553,5350411.09
42,5350412.14,3605,3480,96.53259362,34733,5350412.14
43,5350412.15,5315,5165,97.17779868,31350,5350412.15
44,5350411.12,5720,5385,94.14335664,28262,5350411.12
45,5350128.03,4725,3675,77.77777778,33039,5350128.03
46,5350128.04,4105,3660,89.15956151,39686,5350128.04
47,5350363.06,6655,5225,78.51239669,23357,5350363.06
48,5350363.07,5475,3980,72.69406393,18042,5350363.07
49,5350378.23,4250,3590,84.47058824,19272,5350378.23
50,5350378.24,6160,5240,85.06493506,18434,5350378.24
51,5350400.13,6235,5450,87.40978348,19255,5350400.13
52,5350400.14,6325,5460,86.32411067,19518,5350400.14
53,5350401.17,3720,3260,87.6344086,24353,5350401.17
